timestamp,target_yaw_angle,current_yaw_angle,frequency
1747156821973336,61497,61455,0.13554
1747156822074336,61749,61702,0.135723
1747156822174336,62034,61947,0.135906
1747156822274336,62267,62253,0.136088
1747156822372336,62433,62393,0.136266
1747156822472336,62614,62594,0.136447
1747156822572336,62750,62734,0.136629
1747156822672336,62867,62838,0.136812
1747156822774336,62948,62929,0.136998
1747156822874336,62994,63012,0.137182
1747156822974336,62993,63011,0.137365
1747156823074336,62952,62989,0.137549
1747156823174336,62863,62897,0.137733
1747156823274336,62756,62800,0.137917
1747156823374336,62585,62623,0.138101
1747156823472336,62434,62437,0.138282
1747156823574336,62193,62253,0.138471
1747156823674336,61917,61979,0.138656
1747156823774336,61666,61823,0.138841
1747156823874336,61335,61388,0.139027
1747156823972336,61048,61079,0.139209
1747156824074336,60714,60813,0.139399
1747156824174336,60335,60414,0.139585
1747156824274336,60019,60089,0.139772
1747156824374336,59633,59666,0.139959
1747156824474336,59321,59398,0.140146
1747156824574336,58948,59052,0.140333
1747156824674336,58625,58688,0.140521
1747156824774336,58349,58406,0.140709
1747156824874336,58037,58099,0.140897
1747156824974336,57806,57870,0.141085
1747156825074336,57557,57617,0.141274
1747156825174336,57402,57420,0.141463
1747156825274336,57213,57246,0.141652
1747156825374336,57100,57120,0.141842
1747156825474336,57034,57034,0.142031
1747156825574336,57000,57001,0.142221
1747156825674336,57012,56996,0.142411
1747156825774336,57074,57029,0.142602
1747156825872336,57152,57145,0.142789
1747156825974336,57304,57268,0.142983
1747156826074336,57505,57491,0.143174
1747156826174336,57703,57653,0.143366
1747156826274336,57983,57916,0.143558
1747156826374336,58241,58185,0.143749
1747156826474336,58585,58512,0.143942
1747156826572336,58887,58816,0.144131
1747156826674336,59240,59192,0.144327
1747156826772336,59348,59350,0.144603
1747156826874336,60014,60000,0.144713
1747156826974336,60349,60237,0.144907
1747156827074336,60754,60653,0.1451
1747156827174336,61041,61007,0.145294
1747156827274336,61451,61378,0.145489
1747156827374336,61769,61720,0.145683
1747156827474336,62032,61937,0.145878
1747156827574336,62318,62292,0.146073
1747156827674336,62520,62484,0.146268
1747156827774336,62722,62680,0.146464
1747156827874336,62848,62805,0.14666
1747156827974336,62952,62930,0.146856
1747156828074336,62996,63013,0.147052
1747156828174336,62993,63020,0.147249
1747156828274336,62936,62956,0.147446
1747156828374336,62846,62883,0.147643
1747156828474336,62683,62736,0.14784
1747156828574336,62531,62555,0.148038
1747156828674336,62251,62301,0.148236
1747156828774336,61975,62013,0.148434
1747156828874336,61697,61802,0.148632
1747156828974336,61326,61384,0.148831
1747156829074336,61001,61081,0.149031
1747156829174336,60584,60669,0.149229
1747156829272336,60272,60269,0.149425
1747156829374336,59838,59986,0.149629
1747156829474336,59406,59521,0.149829
1747156829574336,59024,59115,0.150029
1747156829674336,58657,58719,0.15023
1747156829772336,58586,58600,0.150662
1747156829872336,58586,58588,0.150662
1747156829974336,57745,57781,0.150833
1747156830074336,57479,57546,0.151035
1747156830172336,57319,57319,0.151233
1747156830274336,57163,57174,0.151439
1747156830374336,57050,57061,0.151642
1747156830474336,57003,57012,0.151844
1747156830574336,57015,56998,0.152047
1747156830674336,57074,57020,0.152251
1747156830774336,57205,57168,0.152454
1747156830874336,57340,57351,0.152658
1747156830974336,57602,57568,0.152862
1747156831074336,57871,57789,0.153066
1747156831174336,58148,58072,0.153271
1747156831274336,58524,58443,0.153476
1747156831374336,58859,58756,0.153681
1747156831474336,59292,59200,0.153887
1747156831572336,59619,59605,0.154088
1747156831674336,60076,60036,0.154299
1747156831774336,60532,60417,0.154505
1747156831874336,60897,60851,0.154712
1747156831974336,61325,61237,0.154918
1747156832074336,61653,61573,0.155125
1747156832174336,62018,61918,0.155333
1747156832272336,62255,62273,0.155536
1747156832374336,62533,62484,0.155749
1747156832474336,62751,62703,0.155957
1747156832574336,62881,62833,0.156165
1747156832674336,62976,62951,0.156374
1747156832772336,62985,63011,0.156974
1747156832872336,62985,63006,0.156975
1747156832974336,62867,62992,0.157002
1747156833074336,62707,62765,0.157217
1747156833174336,62494,62557,0.157422
1747156833274336,62258,62317,0.157633
1747156833374336,61918,61979,0.157844
1747156833474336,61639,61674,0.158055
1747156833574336,61180,61252,0.158266
1747156833674336,60768,60892,0.158478
1747156833774336,60383,60465,0.158689
1747156833874336,59903,60028,0.158902
1747156833974336,59510,59605,0.159114
1747156834074336,59042,59149,0.159327
1747156834174336,58715,58727,0.15954
1747156834274336,58259,58343,0.159753
1747156834374336,57918,57960,0.159967
1747156834474336,57650,57730,0.160181
1747156834574336,57379,57428,0.160395
1747156834674336,57207,57245,0.160609
1747156834774336,57066,57082,0.160824
1747156834874336,57012,57023,0.161039
1747156834974336,57011,56995,0.161254
1747156835074336,57084,57023,0.16147
1747156835174336,57206,57169,0.161686
1747156835274336,57424,57374,0.161902
1747156835374336,57656,57594,0.162119
1747156835474336,57998,57911,0.162335
1747156835574336,58284,58264,0.162552
1747156835674336,58758,58673,0.16277
1747156835772336,58841,58834,0.163552
1747156835872336,58841,58839,0.163552
1747156835972336,58841,58840,0.163552
1747156836074336,60549,59794,0.16364
1747156836174336,60950,60803,0.163859
1747156836274336,61416,61327,0.164078
1747156836374336,61731,61728,0.164298
1747156836474336,62153,62077,0.164517
1747156836574336,62449,62389,0.164737
1747156836674336,62667,62621,0.164958
1747156836774336,62862,62808,0.165178
1747156836874336,62959,62927,0.165399
1747156836974336,62999,63027,0.16562
1747156837074336,62966,63015,0.165841
1747156837174336,62845,62892,0.166063
1747156837272336,62683,62726,0.16628
1747156837372336,62466,62503,0.166503
1747156837472336,62167,62232,0.166725
1747156837574336,61812,61911,0.166955
1747156837672336,61412,61488,0.167174
1747156837774336,61020,61077,0.167402
1747156837872336,60512,60533,0.167619
1747156837972336,60035,60118,0.167845
1747156838074336,59556,59601,0.168072
1747156838173336,59088,59162,0.168295
1747156838274336,58642,58727,0.168522
1747156838374336,58191,58291,0.168747
1747156838472336,57829,57903,0.168968
1747156838572336,57552,57609,0.169194
1747156838674336,57283,57311,0.169425
1747156838772336,57224,57195,0.170404
1747156838872336,57243,57214,0.170404
1747156838972336,57243,57246,0.170405
1747156839072336,57243,57250,0.170405
1747156839174336,57231,57209,0.17056
1747156839274336,57458,57385,0.170789
1747156839374336,57721,57637,0.171017
1747156839474336,58112,58022,0.171245
1747156839574336,58479,58379,0.171474
1747156839672336,58927,58839,0.171699
1747156839772336,59406,59320,0.171929
1747156839872336,59852,59751,0.172159
1747156839974336,60402,60275,0.172393
1747156840074336,60891,60787,0.172624
1747156840174336,61402,61311,0.172855
1747156840274336,61786,61699,0.173086
1747156840372336,62165,62108,0.173313
1747156840472336,62483,62443,0.173547
1747156840574336,62731,62684,0.173781
1747156840674336,62914,62860,0.174013
1747156840774336,62988,62974,0.174246
1747156840872336,62989,63026,0.174474
1747156840974336,62903,62921,0.174712
1747156841074336,62710,62778,0.174946
1747156841174336,62451,62521,0.17518
1747156841274336,62155,62243,0.175414
1747156841374336,61724,61814,0.175648
1747156841474336,61323,61417,0.175883
1747156841574336,60790,60915,0.176118
1747156841674336,60382,60432,0.176354
1747156841772336,60174,60151,0.177544
1747156841872336,60174,60163,0.177545
1747156841972336,60174,60172,0.177545
1747156842072336,60174,60174,0.177545
1747156842172336,60174,60175,0.177545
1747156842274336,57549,57662,0.177773
1747156842374336,57331,57357,0.178011
1747156842474336,57102,57149,0.178249
1747156842574336,57011,57026,0.178488
1747156842674336,57008,57001,0.178726
1747156842774336,57108,57025,0.178965
1747156842874336,57272,57208,0.179204
1747156842974336,57568,57532,0.179444
1747156843072336,57843,57803,0.179679
1747156843174336,58293,58227,0.179924
1747156843274336,58811,58699,0.180165
1747156843374336,59271,59211,0.180406
1747156843472336,59805,59691,0.180642
1747156843574336,60346,60185,0.180889
1747156843674336,60929,60829,0.18113
1747156843772336,61380,61320,0.181368
1747156843874336,61839,61771,0.181615
1747156843974336,62275,62187,0.181858
1747156844074336,62564,62507,0.182101
1747156844174336,62824,62778,0.182344
1747156844274336,62952,62932,0.182588
1747156844374336,62999,63030,0.182832
1747156844474336,62956,63002,0.183077
1747156844574336,62771,62814,0.183322
1747156844674336,62513,62591,0.183567
1747156844772336,62482,62480,0.184983
1747156844872336,62450,62461,0.184984
1747156844972336,62450,62453,0.184984
1747156845072336,62450,62450,0.184984
1747156845172336,62450,62449,0.184984
1747156845274336,59701,62439,0.185044
1747156845374336,59126,59276,0.185292
1747156845474336,58655,58696,0.185539
1747156845574336,58087,58196,0.185787
1747156845674336,57686,57755,0.186036
1747156845774336,57395,57470,0.186285
1747156845874336,57143,57166,0.186534
1747156845974336,57029,57044,0.186783
1747156846074336,57007,57003,0.187033
1747156846172336,57074,57015,0.187278
1747156846274336,57278,57218,0.187533
1747156846374336,57603,57561,0.187784
1747156846474336,57951,57837,0.188035
1747156846574336,58458,58356,0.188287
1747156846674336,58927,58787,0.188538
1747156846774336,59544,59418,0.18879
1747156846872336,60066,60040,0.189038
1747156846974336,60645,60506,0.189296
1747156847074336,61253,61092,0.189549
1747156847174336,61711,61597,0.189802
1747156847274336,62198,62108,0.190056
1747156847374336,62490,62474,0.19031
1747156847474336,62812,62762,0.190564
1747156847574336,62962,62933,0.190819
1747156847674336,62999,63027,0.191074
1747156847772336,62990,63021,0.192734
1747156847872336,62990,62999,0.192734
1747156847972336,62990,62988,0.192735
