timestamp,target_yaw_angle,current_yaw_angle
11092050,59383,59383
11102050,59383,59383
11112050,59383,59383
11122050,59383,59383
11132050,59383,59383
11142050,59383,59383
11152050,59383,59383
11162050,59383,59383
11172050,59383,59383
11182050,59383,59383
11192050,59383,59383
11202050,59383,59383
11212050,59383,59384
11222050,59383,59383
11232050,59383,59383
11242050,59383,59383
11252050,59383,59383
11262050,59383,59383
11272050,59383,59383
11282050,59383,59383
11292050,59383,59383
11302050,59383,59383
11312050,59383,59383
11322050,59383,59383
11332050,59383,59383
11342050,59383,59383
11352050,59383,59383
11362050,59383,59383
11372050,59383,59383
11382050,59383,59383
11392050,59383,59383
11402050,59383,59383
11412050,59383,59383
11422050,59383,59384
11432050,59383,59383
11442050,59383,59383
11452050,59383,59383
11462050,59383,59383
11472050,59383,59383
11482050,59383,59383
11492050,59383,59383
11502050,59383,59383
11512050,59383,59383
11522050,59383,59383
11532050,59383,59383
11542050,59383,59383
11552050,59383,59383
11562050,59383,59383
11572050,59383,59383
11582050,59383,59383
11592050,59383,59383
11602050,59383,59383
11612050,59383,59383
11622050,59383,59383
11632050,59383,59383
11642050,59383,59383
11652050,59383,59383
11662050,59383,59383
11672050,59383,59384
11682050,59383,59383
11692050,59383,59383
11702050,59383,59383
11712050,59383,59383
11722050,59383,59383
11732050,59383,59383
11742050,59383,59383
11752050,59383,59383
11762050,59383,59383
11772050,59383,59383
11782050,59383,59383
11792050,59383,59383
11802050,59383,59383
11812050,59383,59383
11822050,59383,59383
11832050,59383,59384
11842050,59383,59383
11852050,59383,59383
11862050,59383,59384
11872050,59383,59383
11882050,59383,59383
11892050,59383,59383
11902050,59383,59383
11912050,59383,59383
11922050,59383,59383
11932050,59383,59383
11942050,59383,59383
11952050,59383,59383
11962050,59383,59383
11972050,59383,59383
11982050,59383,59383
11992050,59383,59383
12002050,59383,59383
12012050,59383,59383
12022050,59383,59383
12032050,59383,59383
12042050,59383,59383
12052050,59383,59383
12062050,59383,59383
12072050,59383,59383
12082050,59383,59383
12092050,59383,59383
12102050,59383,59383
12112050,59383,59383
12122050,59383,59383
12132050,59383,59383
12142050,59383,59383
12152050,59383,59383
12162050,59383,59383
12172050,59383,59383
12182050,59383,59383
12192050,59383,59383
12202050,59383,59383
12212050,59383,59383
12222050,59383,59383
12232050,59383,59383
12242050,59383,59383
12252050,59383,59383
12262050,59383,59383
12272050,59383,59383
12282050,59383,59383
12292050,59383,59383
12302050,59383,59383
12312050,59383,59383
12322050,59383,59383
12332050,59383,59383
12342050,59383,59383
12352050,59383,59383
12362050,59383,59383
12372050,59383,59383
12382050,59383,59383
12392050,59383,59383
12402050,59383,59383
12412050,59383,59383
12422050,59383,59383
12432050,59383,59383
12442050,59383,59383
12452050,59383,59383
12462050,59383,59383
12472050,59383,59383
12482050,59383,59383
12492050,59383,59383
12502050,59383,59383
12512050,59383,59383
12522050,59383,59383
12532050,59383,59383
12542050,59383,59383
12552050,59383,59383
12562050,59383,59383
12572050,59383,59383
12582050,59383,59383
12592050,59383,59383
12602050,59383,59383
12612050,59383,59383
12622050,59383,59383
12632050,59383,59383
12642050,59383,59383
12652050,59383,59383
12662050,59383,59383
12672050,59383,59383
12683050,59383,59383
12692050,59383,59383
12702050,59383,59383
12712050,59383,59383
12722050,59383,59383
12732050,59383,59383
12742050,59383,59383
12752050,59383,59383
12762050,59383,59383
12772050,59383,59383
12782050,59383,59383
12792050,59383,59383
12802050,59383,59383
12812050,59383,59383
12822050,59383,59383
12832050,59383,59383
12842050,59383,59383
12852050,59383,59383
12862050,59383,59383
12872050,59383,59383
12882050,59383,59383
12892050,59383,59383
12902050,59383,59383
12912050,59383,59383
12922050,59383,59383
12932050,59383,59383
12942050,59383,59383
12952050,59383,59383
12962050,59383,59383
12972050,59383,59383
12982050,59383,59383
12992050,59383,59383
13002050,59383,59383
13012050,59383,59383
13022050,59383,59383
13032050,59383,59383
13042050,59383,59383
13052050,59383,59383
13062050,59383,59383
13072050,59383,59383
13082050,59383,59383
13092050,59383,59383
